Increased_Work_Hours,Work_From_Home,Hours_Worked_Per_Day,Meetings_Per_Day,Productivity_Change,Stress_Level,Health_Issue,Job_Security,Childcare_Responsibilities,Commuting_Changes,Technology_Adaptation,Salary_Changes,Team_Collaboration_Challenges,Affected_by_Covid,Sector_Education,Sector_Healthcare,Sector_IT,Sector_Retail
1,0.6931471805599453,-0.8285759010885673,-0.8740906890160535,0.6931471805599453,1,0,0,1,1,1,0.0,1,1,0.0,0.0,0.0,0.6931471805599453
1,0.6931471805599453,0.5973202012935558,-0.43177943776076955,0.6931471805599453,1,0,1,0,1,1,0.0,1,1,0.0,0.0,0.6931471805599453,0.0
1,0.0,1.3363190444155504,-1.1891277844723631,0.0,2,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.6931471805599453
1,0.6931471805599453,-1.2626791186886086,0.7920822110300016,0.0,2,0,0,0,1,0,0.0,0,1,0.6931471805599453,0.0,0.0,0.0
0,0.6931471805599453,1.7528932141399711,-0.5791415205136643,0.6931471805599453,2,0,1,1,1,0,0.6931471805599453,1,1,0.6931471805599453,0.0,0.0,0.0
1,0.6931471805599453,-0.1357834835192881,-2.35458239949029,0.6931471805599453,1,1,0,1,1,1,0.0,1,1,0.0,0.0,0.6931471805599453,0.0
0,0.0,-1.0042416502716358,2.342496389874829,0.0,2,0,0,1,0,1,0.0,1,1,0.0,0.0,0.6931471805599453,0.0
1,0.6931471805599453,0.7735449086924967,-0.5636196070378512,0.0,3,1,0,0,1,1,0.0,1,1,0.0,0.6931471805599453,0.0,0.0
1,0.6931471805599453,-0.4619447505820205,-0.5696902487247514,0.0,2,1,1,0,0,0,0.0,1,1,0.6931471805599453,0.0,0.0,0.0
1,0.6931471805599453,-0.08775308079235676,1.7088603140958882,0.0,3,1,0,1,1,1,0.0,1,1,0.6931471805599453,0.0,0.0,0.0
0,0.6931471805599453,-0.4186729515479146,-1.2098774070545295,0.0,2,0,0,1,1,1,0.0,1,1,0.0,0.0,0.6931471805599453,0.0
0,0.6931471805599453,-0.8418466444764826,1.16663259368311,0.0,2,0,0,0,0,1,0.0,1,1,0.6931471805599453,0.0,0.0,0.0
1,0.6931471805599453,0.7389102735226253,-0.5806882486852527,0.6931471805599453,2,0,0,0,1,1,0.6931471805599453,1,1,0.0,0.6931471805599453,0.0,0.0
0,0.6931471805599453,-0.2976315574067186,-1.326981101346607,0.6931471805599453,2,1,0,1,1,1,0.0,1,1,0.0,0.0,0.0,0.6931471805599453
0,0.6931471805599453,-1.4778633157290622,1.7434267724058394,0.6931471805599453,2,0,0,0,0,0,0.0,1,1,0.0,0.0,0.6931471805599453,0.0
0,0.0,0.5614811761551619,0.9502415485560407,0.6931471805599453,3,0,1,0,0,0,0.0,1,1,0.0,0.6931471805599453,0.0,0.0
1,0.0,-1.2407916414203342,0.9471037943571516,0.0,2,0,0,1,1,0,0.6931471805599453,1,1,0.0,0.0,0.6931471805599453,0.0
1,0.6931471805599453,-1.187110348201595,0.3873023788422216,0.0,2,0,0,1,1,0,0.0,1,1,0.0,0.6931471805599453,0.0,0.0
1,0.0,1.2196919839181743,0.6218727000044094,0.6931471805599453,3,1,0,0,1,1,0.0,1,1,0.0,0.0,0.0,0.6931471805599453
0,0.6931471805599453,-1.2313091087444532,-1.2341066900784075,0.6931471805599453,3,0,0,0,0,0,0.0,1,1,0.0,0.6931471805599453,0.0,0.0
1,0.0,-2.3805097836569455,0.12780140381487012,0.6931471805599453,2,0,0,1,0,0,0.6931471805599453,1,1,0.0,0.6931471805599453,0.0,0.0
0,0.0,0.6351476407662956,-0.9266162095542835,0.0,1,0,0,0,1,0,0.0,1,1,0.6931471805599453,0.0,0.0,0.0
0,0.6931471805599453,-0.31564977317078124,-1.3930055534541936,0.0,3,0,1,1,1,0,0.6931471805599453,0,1,0.0,0.6931471805599453,0.0,0.0
1,0.0,-0.2272021277530187,0.4311846290992999,0.0,2,0,0,0,0,1,0.6931471805599453,0,1,0.0,0.0,0.6931471805599453,0.0
1,0.6931471805599453,-0.3265630415865079,1.1884670756007611,0.0,2,0,0,0,1,1,0.0,0,1,0.0,0.0,0.6931471805599453,0.0
1,0.0,0.23379454834389615,-0.37385988894460925,0.0,3,1,0,1,0,1,0.6931471805599453,1,1,0.6931471805599453,0.0,0.0,0.0
0,0.6931471805599453,-0.7761650124077487,-0.20019086467285951,0.6931471805599453,3,1,0,0,1,0,0.0,1,1,0.6931471805599453,0.0,0.0,0.0
1,0.6931471805599453,1.510565042009597,-1.138830327478309,0.0,2,0,1,0,0,1,0.0,1,1,0.6931471805599453,0.0,0.0,0.0
1,0.6931471805599453,-1.5184700952973058,0.021998507140318455,0.6931471805599453,2,1,0,1,0,0,0.0,1,1,0.0,0.0,0.0,0.6931471805599453
0,0.6931471805599453,0.4525377139121135,0.7850201349698925,0.6931471805599453,3,0,1,0,1,0,0.0,1,1,0.0,0.0,0.6931471805599453,0.0
1,0.0,0.6549074427234407,0.8168963171972594,0.6931471805599453,2,0,1,0,1,0,0.0,1,1,0.6931471805599453,0.0,0.0,0.0
0,0.6931471805599453,-0.7832776096502354,0.5672193158192395,0.6931471805599453,2,0,0,1,0,1,0.0,1,1,0.0,0.0,0.0,0.6931471805599453
0,0.6931471805599453,-1.05422007544803,-0.6120952817606884,0.0,3,0,1,1,0,1,0.0,1,1,0.0,0.0,0.6931471805599453,0.0
1,0.6931471805599453,1.039702991951123,-0.6442210399762012,0.6931471805599453,2,0,0,1,0,1,0.0,0,1,0.6931471805599453,0.0,0.0,0.0
0,0.6931471805599453,-1.02049246097419,0.8208253848411943,0.6931471805599453,3,0,1,0,1,0,0.0,0,1,0.0,0.0,0.0,0.6931471805599453
1,0.6931471805599453,-0.6263157955976868,0.8376438484146362,0.0,3,0,0,0,0,1,0.0,1,1,0.0,0.0,0.6931471805599453,0.0
1,0.6931471805599453,0.9064643754401926,-0.15963276570083604,0.6931471805599453,3,0,0,1,0,1,0.6931471805599453,0,1,0.0,0.0,0.0,0.6931471805599453
0,0.6931471805599453,0.03175044552327442,-0.4172407607762667,0.0,3,0,0,0,0,1,0.0,1,1,0.0,0.6931471805599453,0.0,0.0
1,0.6931471805599453,-1.847719286558551,1.197687418854351,0.0,2,0,0,1,1,1,0.0,1,1,0.0,0.0,0.6931471805599453,0.0
1,0.0,1.788547329105398,-0.3501235864488922,0.6931471805599453,3,0,1,0,0,1,0.0,0,1,0.6931471805599453,0.0,0.0,0.0
